ClientApp,ConsentType,Scope,ResourceId
SharePoint Online Web Client Extensibility,AllPrincipals,AppCatalog.Read.All AppCatalog.Submit Channel.ReadBasic.All EduAssignments.ReadBasic EduRoster.ReadBasic Files.Read.All Files.ReadWrite.All Group.Read.All People.Read People.Read.All Presence.Read.All User.Read User.ReadBasic.All Tasks.ReadWrite TeamsAppInstallation.ReadWriteForTeam TeamsAppInstallation.ReadWriteSelfForTeam Group-Conversation.ReadWrite.All Team.ReadBasic.All TeamsTab.Create Channel.Create Sites.Read.All PrinterShare.ReadBasic.All PrintJob.Create PrintJob.ReadBasic FileStorageContainer.Selected Group-Conversation.ReadWrite.All ChatMember.Read GroupMember.Read.All Files.Read Calendars.Read InformationProtectionPolicy.Read SensitivityLabel.Read,2a653ef4-0f71-5e82-80fb-4068ecb7aaa6
SharePoint Online Web Client Extensibility,AllPrincipals,Files.ReadWrite.All TermStore.ReadWrite.All Sites.ReadWrite.All Sites.FullControl.All M365BillingPlatform.Read.All,4c33838a-42cc-5f1b-b74c-3971d9e46cf9
Microsoft Graph Command Line Tools,AllPrincipals, User.Read.All Directory.Read.All Organization.Read.All openid profile offline_access Group.Read.All AuditLog.Read.All User.ReadWrite.All Directory.ReadWrite.All Group.ReadWrite.All DeviceManagementManagedDevices.Read.All Policy.Read.All UserAuthenticationMethod.Read.All RoleManagement.Read.Directory SecurityEvents.Read.All Device.Read.All email Reports.Read.All IdentityRiskyUser.Read.All IdentityRiskEvent.Read.All SecurityActions.Read.All Application.Read.All,2a653ef4-0f71-5e82-80fb-4068ecb7aaa6
