DisplayName,AppId,ServicePrincipalType,AccountEnabled,PublisherName,Homepage
MIP Exchange Solutions,b05be754-6df0-52e5-b4b6-3239bc914867,Application,True,,
Viva Engage,a7873190-436a-5a8c-b3ac-512b35f13c66,Application,True,,
Office 365 Reports,d5a225b9-e7ee-5a39-aa3e-7a97928be4eb,Application,True,,
Bing,287c27f6-f848-5da0-b0c1-30a5600caf9a,Application,True,,
Microsoft Graph,43349f59-b8c2-597a-a6a5-f5b5e401908f,Application,True,,
Power Platform Authorization Service PROD,aaab9da1-e953-5154-a180-08d348b8ae10,Application,True,,
AWS Single-Account Access,cbbfb407-94e2-5d59-bdc4-714b35724e8c,Application,True,,https://signin.aws.amazon.com/saml?metadata=aws|ISV9.1|primary|z
Dynamics Lifecycle services,5b1d4c57-8419-51af-92a6-755b41b272af,Application,True,,
AADReporting,b9bcfe4b-d294-529b-8406-05f8661340c8,Application,True,,
Azure ESTS Service,d0c065b5-4076-5247-aa7c-69146d3318b1,Application,True,,
Microsoft Teams AadSync,b6ac3b64-72d6-5378-942b-5e6a931255dd,Application,True,,
Intune DeviceDirectory ConfidentialClient,22244e5d-917f-5e78-ac78-c6f1eddf7579,Application,True,,
Graph Connector Service,f6e22033-a036-5071-b8ae-a10273a3ae9d,Application,True,,
Office365DirectorySynchronizationService,7c39d857-3ffc-56f1-94ae-2849e45412d8,Application,True,,
Modern Workplace Customer APIs,305484ad-d79f-5973-a775-0aa51c3048fa,Application,True,,
My Apps,9246a252-c904-569b-840f-8d5cb75b2e58,Application,True,,
Microsoft Flow Service,c8eaf262-5ac9-5081-9710-7f8db76dc83b,Application,True,,
Azure Advanced Threat Protection,6a5c0bef-9325-5850-bc0c-e651c408c4fd,Application,True,,
Microsoft To-Do,61a73c8b-0b47-5bbf-ad60-388a399415c6,Application,True,,
Group Configuration Processor,9a5ae645-2c5e-5c53-bc47-2e42b282ad00,Application,True,,
Microsoft Azure Workflow,2117f0eb-b0e6-50f5-be7f-68c03f9648b7,Application,True,,
CAP Neptune Prod CM Prod ,f121b652-8930-5fc5-be66-ddd04d707708,Application,True,,
Media Analysis and Transformation Service,66217ccf-80bf-5648-a360-74013780b87d,Application,True,,
Windows 365,d3989676-2aeb-5993-a7ef-160ce586e280,Application,True,,
Microsoft Information Protection Sync Service,314d2458-8c0c-5257-9d3f-87af53ad862f,Application,True,,
Dataverse,c1dfb052-c25a-574a-bbf0-2fd7824a5de9,Application,True,,
Microsoft To-Do Business Connector,4ecee02b-dc08-504d-b53b-a14f1d4f8951,Application,True,,
Microsoft Teams Admin Portal Service,b348c089-50d7-5b4e-8c79-eb7b613e05c8,Application,True,,
Skype and Teams Tenant Admin API,76d1a526-50f0-592d-86da-b4dbe6904305,Application,True,,
PowerApps-Advisor,6a72f3ba-8fa6-55b2-bdf5-bb799bc7800f,Application,True,,
Intune Compliance Client Prod,c8290b1d-8ec7-5ef1-8830-8d1980bc3caa,Application,True,,
Azure Credential Configuration Endpoint Service,5c21d9bd-5d58-5666-9358-3e08a88a2d7d,Application,True,,
Microsoft People Cards Service,003fd5fa-c217-54f8-88cd-10a548ebdcf7,Application,True,,
Power Apps Service Data Plane Backend,462a3d4f-b87e-5e2e-831a-7c6a0edad704,Application,True,,
Conference Auto Attendant,03eb12cb-dcc5-50fe-92c6-8e3055cc5b81,Application,True,,
Configuration Manager Microservice,9635a2f4-799d-52ba-87e8-9e9de3a43b34,Application,True,,
M365PurvieweDiscoveryInfra,c407a433-e25a-549a-be46-8ff3df03cae2,Application,True,,
Office 365 SharePoint Online,c8ce0a17-c413-5a2b-b827-a4c8eb679cc4,Application,True,,
Teams Biometric Service,6bd23a23-6398-5d4a-9f92-0b7c2d96b26b,Application,True,,
SharePoint Connector,39b492c2-8699-52ae-b522-89130409a472,Application,True,,
SharePoint Framework Azure AD Helper,ccd0dd2d-f062-5dda-9e70-34a7533a2ac3,Application,True,,
Windows Azure Active Directory,4f8d2fa0-97f2-5ab8-a4ca-c88c0ae7484e,Application,True,,
Microsoft Substrate Management,2d92e687-6e0f-5fe4-adc3-7402a7b8c276,Application,True,,
Customer Service Trial PVA,2b03744f-5a45-55fc-b1a7-959c4dc2a6e4,Application,True,,
AAD App Management,be1637bb-48ef-5add-8414-0c422266ef80,Application,True,,
