"ClientApp","ConsentType","Scope","ResourceId"
"SharePoint Online Web Client Extensibility","AllPrincipals","AppCatalog.Read.All AppCatalog.Submit Channel.ReadBasic.All EduAssignments.ReadBasic EduRoster.ReadBasic Files.Read.All Files.ReadWrite.All Group.Read.All People.Read People.Read.All Presence.Read.All User.Read User.ReadBasic.All Tasks.ReadWrite TeamsAppInstallation.ReadWriteForTeam TeamsAppInstallation.ReadWriteSelfForTeam Group-Conversation.ReadWrite.All Team.ReadBasic.All TeamsTab.Create Channel.Create Sites.Read.All PrinterShare.ReadBasic.All PrintJob.Create PrintJob.ReadBasic FileStorageContainer.Selected Group-Conversation.ReadWrite.All ChatMember.Read GroupMember.Read.All Files.Read Calendars.Read InformationProtectionPolicy.Read SensitivityLabel.Read","4be72b7b-1b9e-49f2-b713-ead961085c7d"
"SharePoint Online Web Client Extensibility","AllPrincipals","User.Read User.ReadBasic.All Calendars.Read","788b820c-48da-4376-8248-34069028829f"
"SharePoint Online Web Client Extensibility","AllPrincipals","Files.ReadWrite.All TermStore.ReadWrite.All Sites.ReadWrite.All Sites.FullControl.All M365BillingPlatform.Read.All","697d680b-7237-4382-a50b-9f2d2541d8c4"
"SharePoint Online Web Client Extensibility","AllPrincipals","Report.Read.All UserState.ReadWrite.All Dataset.Read.All MLModel.Execute.All","8842a6f6-70e8-42d2-bec6-d9e7e3d9377a"
"SharePoint Online Web Client Extensibility","AllPrincipals","user_impersonation","6258a854-65a4-4e12-a9d1-5bca46aa367e"
"SharePoint Online Web Client Extensibility","AllPrincipals","Forms.ReadWrite","e3bf86c1-ee38-4848-b2e1-ad0b9148b415"
"SharePoint Online Web Client Extensibility","AllPrincipals","user_impersonation","e7400c95-dc51-48b0-863f-2f38b187b5f8"
"Microsoft Graph Command Line Tools","AllPrincipals"," User.Read.All Directory.Read.All Organization.Read.All openid profile offline_access Group.Read.All AuditLog.Read.All User.ReadWrite.All Directory.ReadWrite.All Group.ReadWrite.All DeviceManagementManagedDevices.Read.All Policy.Read.All UserAuthenticationMethod.Read.All RoleManagement.Read.Directory SecurityEvents.Read.All Device.Read.All email Reports.Read.All IdentityRiskyUser.Read.All IdentityRiskEvent.Read.All SecurityActions.Read.All Application.Read.All","4be72b7b-1b9e-49f2-b713-ead961085c7d"
